Bond Length (Å),VQE Energy (Ha),FCI Energy (Ha),Error (Ha),Error (mHa),Runtime (s),Evals,Molecule,Basis,Ansatz,Mapper,Optimizer,Freeze Core,Active Space,Scan Type
0.5,-38.71337002,-38.75281097,0.03944095,39.440955,949.254,301,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
0.6,-39.20496265,-39.24680218,0.04183953,41.839533,792.295,249,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
0.7,-39.4848511,-39.52512648,0.04027538,40.275376,786.333,251,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
0.8,-39.63427968,-39.67877748,0.0444978,44.497801,785.921,249,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
0.9,-39.71659488,-39.75894104,0.04234617,42.346165,781.958,249,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.0,-39.750825,-39.79542272,0.04459772,44.597718,615.811,199,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.1,-39.75853962,-39.80575316,0.04721354,47.213543,694.904,251,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.2,-39.75689218,-39.80039221,0.04350003,43.50003,634.174,201,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.3,-39.73922677,-39.78579754,0.04657078,46.570775,647.792,201,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.4,-39.72277325,-39.76613182,0.04335857,43.358567,615.514,201,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.5,-39.7009232,-39.74416596,0.04324277,43.242765,636.666,201,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.6,-39.67543961,-39.721774,0.04633439,46.334387,566.945,201,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.7,-39.65615451,-39.70022986,0.04407535,44.07535,922.953,349,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.8,-39.63493711,-39.68038987,0.04545275,45.452755,1036.039,349,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
1.9,-39.61651054,-39.66279557,0.04628504,46.285035,1070.714,349,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
2.0,-39.60323192,-39.64772777,0.04449585,44.49585,910.891,300,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
2.1,-39.58899055,-39.63523916,0.04624861,46.24861,869.221,299,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
2.2,-39.58307009,-39.62519619,0.0421261,42.126101,806.073,300,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
2.3,-39.57571038,-39.617334,0.04162362,41.623617,954.425,348,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
2.4,-39.56684509,-39.61131873,0.04447364,44.473637,1042.428,348,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
2.5,-39.56219223,-39.6068031,0.04461088,44.610875,778.742,249,CH4,sto-3g,k-upccgsd,bravyi-kitaev,l_bfgs_b,True,True,single_ch
