Bond Length (Å),VQE Energy (Ha),FCI Energy (Ha),Error (Ha),Error (mHa),Runtime (s),Evals,Molecule,Basis,Ansatz,Mapper,Optimizer,Freeze Core,Active Space,Scan Type
0.8,-1.13414767,-1.13414767,0.0,0.0,0.239,10,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
0.9,-1.12056028,-1.12056028,0.0,0.0,0.184,9,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.0,-1.10115033,-1.10115033,0.0,0.0,0.173,9,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.1,-1.07919294,-1.07919294,0.0,0.0,0.189,9,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.2,-1.05674075,-1.05674075,0.0,0.0,0.188,9,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.3,-1.03518627,-1.03518627,0.0,0.0,0.242,12,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.4,-1.01546825,-1.01546825,0.0,0.0,0.232,12,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.5,-0.99814935,-0.99814935,0.0,0.0,0.219,12,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.6,-0.98347273,-0.98347273,0.0,0.0,0.227,12,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.7,-0.97142669,-0.97142669,0.0,0.0,0.215,12,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.8,-0.96181695,-0.96181695,0.0,0.0,0.258,12,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
1.9,-0.95433885,-0.95433885,0.0,0.0,0.237,12,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
2.0,-0.94864111,-0.94864111,0.0,0.0,0.253,12,H2,sto-3g,k-upccgsd,parity,slsqp,False,False,single_ch
